exerciseId,exerciseName,category,primaryMuscles,equipment,resultType,status,confidence,moveKitSlug,moveKitTitle,moveKitUrl,moveKitPrimaryMuscles,moveKitSecondaryMuscles,moveKitEquipment,notes
machine-shoulder-press,Жим плечами в тренажере,strength,shoulders,Тренажер для жима плечами,weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
smith-machine-shoulder-press,Жим в Смите на плечи,strength,shoulders,"Тренажер Смита, скамья",weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
landmine-press,Жим landmine одной рукой,strength,shoulders,"Штанга, landmine",weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
push-press,Швунг жимовой,strength,shoulders,Штанга,weight_reps,reusable_asset,0.55,kettlebell-push-press,Kettlebell Push Press,https://movekit.com/exercises/kettlebell-push-press,Shoulders,Shoulders|Triceps,Kettlebell,"Temporary fallback: close base movement exists, but loading/modifier differs."
dumbbell-lateral-raise,Подъем гантелей через стороны,strength,shoulders,Гантели,weight_reps,exact_slug,1,dumbbell-lateral-raise,Dumbbell Lateral Raise,https://movekit.com/exercises/dumbbell-lateral-raise,Shoulders,,Dumbbell,Catalog id equals MoveKit slug.
cable-lateral-raise,Подъем руки в сторону в кроссовере,strength,shoulders,Кроссовер,weight_reps,reusable_asset,0.55,band-lateral-raise,Band Lateral Raise,https://movekit.com/exercises/band-lateral-raise,Shoulders,,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
machine-lateral-raise,Махи в стороны в тренажере,strength,shoulders,Тренажер для махов,weight_reps,reusable_asset,0.55,band-lateral-raise,Band Lateral Raise,https://movekit.com/exercises/band-lateral-raise,Shoulders,,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
leaning-lateral-raise,Подъем гантели в сторону с наклоном,strength,shoulders,"Гантель, опора",weight_reps,reusable_asset,0.55,band-lateral-raise,Band Lateral Raise,https://movekit.com/exercises/band-lateral-raise,Shoulders,,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
dumbbell-front-raise,Подъем гантелей перед собой,strength,shoulders,Гантели,weight_reps,exact_slug,1,dumbbell-front-raise,Dumbbell Front Raise,https://movekit.com/exercises/dumbbell-front-raise,Shoulders,,Dumbbell,Catalog id equals MoveKit slug.
plate-front-raise,Подъем блина перед собой,strength,shoulders,Блин,weight_reps,reusable_asset,0.55,dumbbell-front-raise,Dumbbell Front Raise,https://movekit.com/exercises/dumbbell-front-raise,Shoulders,,Dumbbell,"Temporary fallback: close base movement exists, but loading/modifier differs."
cable-front-raise,Подъем рук перед собой в кроссовере,strength,shoulders,Кроссовер,weight_reps,reusable_asset,0.55,dumbbell-front-raise,Dumbbell Front Raise,https://movekit.com/exercises/dumbbell-front-raise,Shoulders,,Dumbbell,"Temporary fallback: close base movement exists, but loading/modifier differs."
rear-delt-dumbbell-fly,Разведение гантелей в наклоне,strength,shoulders,Гантели,weight_reps,renamed_match,0.75,dumbbell-rear-delt-fly,Dumbbell Rear Delt Fly,https://movekit.com/exercises/dumbbell-rear-delt-fly,Shoulders,,Dumbbell,"Same normalized tokens, different word order or provider naming."
reverse-pec-deck,Обратная бабочка,strength,shoulders,Тренажер бабочка,weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
face-pull,Тяга каната к лицу,strength,shoulders,"Кроссовер, канат",weight_reps,reusable_asset,0.55,band-high-face-pull,Band High Face Pull,https://movekit.com/exercises/band-high-face-pull,Shoulders,Trapezius,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
cable-rear-delt-fly,Разведение рук в кроссовере на заднюю дельту,strength,shoulders,Кроссовер,weight_reps,reusable_asset,0.55,dumbbell-rear-delt-fly,Dumbbell Rear Delt Fly,https://movekit.com/exercises/dumbbell-rear-delt-fly,Shoulders,,Dumbbell,"Temporary fallback: close base movement exists, but loading/modifier differs."
upright-row,Тяга штанги к подбородку,strength,shoulders,Штанга,weight_reps,reusable_asset,0.55,band-row,Band Row,https://movekit.com/exercises/band-row,Back,Biceps,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
barbell-shrug,Шраги со штангой,strength,shoulders,Штанга,weight_reps,exact_slug,1,barbell-shrug,Barbell Shrug,https://movekit.com/exercises/barbell-shrug,Trapezius,,Barbell,Catalog id equals MoveKit slug.
dumbbell-shrug,Шраги с гантелями,strength,shoulders,Гантели,weight_reps,exact_slug,1,dumbbell-shrug,Dumbbell Shrug,https://movekit.com/exercises/dumbbell-shrug,Trapezius,,Dumbbell,Catalog id equals MoveKit slug.
cuban-press,Кубинский жим,strength,shoulders,Гантели,weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
incline-y-raise,Y-подъемы на наклонной скамье,strength,shoulders,"Гантели, наклонная скамья",weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
pike-push-up,Отжимания уголком,strength,shoulders,Собственный вес,reps_only,reusable_asset,0.55,push-up,Push Up,https://movekit.com/exercises/push-up,Chest,Shoulders|Triceps,Bodyweight,"Temporary fallback: close base movement exists, but loading/modifier differs."
handstand-push-up,Отжимания в стойке на руках,strength,shoulders,"Собственный вес, стена",reps_only,reusable_asset,0.55,push-up,Push Up,https://movekit.com/exercises/push-up,Chest,Shoulders|Triceps,Bodyweight,"Temporary fallback: close base movement exists, but loading/modifier differs."
handstand-hold,Стойка на руках у стены,strength,shoulders,Стена,duration_hold,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
farmers-carry,Фермерская прогулка,strength,shoulders,Гантели или гири,distance_time,reusable_asset,0.55,kettlebell-farmers-carry,Kettlebell Farmers Carry,https://movekit.com/exercises/kettlebell-farmers-carry,Forearms,,Kettlebell,"Temporary fallback: close base movement exists, but loading/modifier differs."
overhead-carry,Прогулка с весом над головой,strength,shoulders,Гантели или гири,distance_time,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
barbell-curl,Сгибание рук со штангой,strength,biceps,Штанга,weight_reps,exact_slug,1,barbell-curl,Barbell Curl,https://movekit.com/exercises/barbell-curl,Biceps,,Barbell,Catalog id equals MoveKit slug.
ez-bar-curl,Сгибание рук с EZ-грифом,strength,biceps,EZ-гриф,weight_reps,renamed_match,0.75,ez-bar-preacher-curl,EZ Bar Preacher Curl,https://movekit.com/exercises/ez-bar-preacher-curl,Biceps,,Barbell,High token overlap (0.75) with provider naming.
dumbbell-curl,Сгибание рук с гантелями,strength,biceps,Гантели,weight_reps,exact_slug,1,dumbbell-curl,Dumbbell Curl,https://movekit.com/exercises/dumbbell-curl,Biceps,,Dumbbell,Catalog id equals MoveKit slug.
alternating-dumbbell-curl,Попеременное сгибание рук с гантелями,strength,biceps,Гантели,weight_reps,reusable_asset,0.55,band-curl,Band Curl,https://movekit.com/exercises/band-curl,Biceps,,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
hammer-curl,Молотковые сгибания с гантелями,strength,biceps,Гантели,weight_reps,reusable_asset,0.55,band-curl,Band Curl,https://movekit.com/exercises/band-curl,Biceps,,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
cross-body-hammer-curl,Молотковые сгибания поперек корпуса,strength,biceps,Гантели,weight_reps,reusable_asset,0.55,band-curl,Band Curl,https://movekit.com/exercises/band-curl,Biceps,,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
incline-dumbbell-curl,Сгибание рук с гантелями на наклонной скамье,strength,biceps,"Гантели, наклонная скамья",weight_reps,renamed_match,0.75,dumbbell-incline-curl,Dumbbell Incline Curl,https://movekit.com/exercises/dumbbell-incline-curl,Biceps,,Dumbbell,"Same normalized tokens, different word order or provider naming."
concentration-curl,Концентрированное сгибание на бицепс,strength,biceps,Гантель,weight_reps,reusable_asset,0.55,band-curl,Band Curl,https://movekit.com/exercises/band-curl,Biceps,,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
preacher-curl,Сгибание рук на скамье Скотта,strength,biceps,"Скамья Скотта, EZ-гриф",weight_reps,reusable_asset,0.55,band-curl,Band Curl,https://movekit.com/exercises/band-curl,Biceps,,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
machine-preacher-curl,Сгибание рук в тренажере Скотта,strength,biceps,Тренажер Скотта,weight_reps,reusable_asset,0.55,band-curl,Band Curl,https://movekit.com/exercises/band-curl,Biceps,,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
cable-curl,Сгибание рук на нижнем блоке,strength,biceps,Нижний блок,weight_reps,reusable_asset,0.55,band-curl,Band Curl,https://movekit.com/exercises/band-curl,Biceps,,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
rope-hammer-curl,Молотковые сгибания с канатом на блоке,strength,biceps,"Нижний блок, канат",weight_reps,reusable_asset,0.55,band-curl,Band Curl,https://movekit.com/exercises/band-curl,Biceps,,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
bayesian-cable-curl,Байесовское сгибание на бицепс,strength,biceps,Кроссовер,weight_reps,reusable_asset,0.55,band-curl,Band Curl,https://movekit.com/exercises/band-curl,Biceps,,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
spider-curl,Паучьи сгибания на бицепс,strength,biceps,"Гантели или EZ-гриф, наклонная скамья",weight_reps,reusable_asset,0.55,band-curl,Band Curl,https://movekit.com/exercises/band-curl,Biceps,,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
reverse-curl,Сгибание рук обратным хватом,strength,biceps,Штанга или EZ-гриф,weight_reps,reusable_asset,0.55,band-curl,Band Curl,https://movekit.com/exercises/band-curl,Biceps,,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
zottman-curl,Сгибание Зоттмана,strength,biceps,Гантели,weight_reps,reusable_asset,0.55,band-curl,Band Curl,https://movekit.com/exercises/band-curl,Biceps,,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
drag-curl,Сгибание рук drag curl,strength,biceps,Штанга,weight_reps,reusable_asset,0.55,band-curl,Band Curl,https://movekit.com/exercises/band-curl,Biceps,,Band,"Temporary fallback: close base movement exists, but loading/modifier differs."
isometric-biceps-hold,Изометрическое удержание на бицепс,strength,biceps,Гантели или штанга,duration_hold,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
